Chapter ID,Order No,Video Name,Video URL
56,1,Concept of Derivatives,https://www.youtube.com/watch?v=WmcgqFlL7y4&list=PLZ9LVTcy9PK0_9tuLO-bUC6p6kjaj7C7I&index=2&pp=iAQB
56,2,Chain Rule and Product Rule,https://www.youtube.com/watch?v=1kTWRZnUEVE&list=PLZ9LVTcy9PK0_9tuLO-bUC6p6kjaj7C7I&index=1&pp=iAQB
56,3,Parametric Differentiation and Higher Order Derivatives,https://www.youtube.com/watch?v=0xDzjFT0brg&list=PLZ9LVTcy9PK0_9tuLO-bUC6p6kjaj7C7I&index=3&pp=iAQB2AZE
17,1,Intro to Complex Numbers,https://www.youtube.com/watch?v=nAYVFO4YYa0&list=PLZ9LVTcy9PK3oQ4aVGAPAX5O3wtv7Lqkx&index=7&pp=iAQB
17,2,Algebra of Complex Numbers,https://www.youtube.com/watch?v=ORLqPJBtXPE&list=PLZ9LVTcy9PK3oQ4aVGAPAX5O3wtv7Lqkx&index=6&pp=iAQB
17,3,Intro to Complex Numbers,https://www.youtube.com/watch?v=XnjAZc5bbyQ&list=PLZ9LVTcy9PK3oQ4aVGAPAX5O3wtv7Lqkx&index=5&pp=iAQB
17,4,Argument of Complex Numbers,https://www.youtube.com/watch?v=XWzNxfO9zOo&list=PLZ9LVTcy9PK3oQ4aVGAPAX5O3wtv7Lqkx&index=4&pp=iAQB
17,5,Cube Root of Unity,https://www.youtube.com/watch?v=FP_u6KSCW3o&list=PLZ9LVTcy9PK3oQ4aVGAPAX5O3wtv7Lqkx&index=3&pp=iAQB
17,6,Problem Solving Session - 1,https://www.youtube.com/watch?v=-7bfnWZrxOU&list=PLZ9LVTcy9PK3oQ4aVGAPAX5O3wtv7Lqkx&index=2&pp=iAQB2AbAAg%3D%3D
17,7,Problem Solving Session 2,https://www.youtube.com/watch?v=QwWWC1BqDLU&list=PLZ9LVTcy9PK3oQ4aVGAPAX5O3wtv7Lqkx&index=1&pp=iAQB
55,1,Role of change of Quantities,https://www.youtube.com/watch?v=Dv1NxNsjJ8c&list=PLZ9LVTcy9PK1nrtAHe6XXs5KU8DKToL8V&index=5&pp=iAQB
55,2,Increasing and Decreasing functions Part-1,https://www.youtube.com/watch?v=DKI-r7FpGH0&list=PLZ9LVTcy9PK1nrtAHe6XXs5KU8DKToL8V&index=4&pp=iAQB
55,3,Increasing and Decreasing functions Part-2,https://www.youtube.com/watch?v=EPKqGFJ60Ms&list=PLZ9LVTcy9PK1nrtAHe6XXs5KU8DKToL8V&index=3&pp=iAQB
55,4,Maxima and Minima,https://www.youtube.com/watch?v=iEB_c1iUSaY&list=PLZ9LVTcy9PK1nrtAHe6XXs5KU8DKToL8V&index=2&pp=iAQB
55,5,Problem solving session,https://www.youtube.com/watch?v=oBrggqhhz5Y&list=PLZ9LVTcy9PK1nrtAHe6XXs5KU8DKToL8V&index=1&pp=iAQB
22,1,Basic Concepts,https://www.youtube.com/watch?v=pmpMJRhDKk0&list=PLZ9LVTcy9PK3LJTet5ISYn_s3RFRayaZv&index=6&pp=iAQB
22,2,Slope of a line,https://www.youtube.com/watch?v=coh8ykQOaZQ&list=PLZ9LVTcy9PK3LJTet5ISYn_s3RFRayaZv&index=5&pp=iAQB
22,3,Equations of line PART 1,https://www.youtube.com/watch?v=r5iundcdh1E&list=PLZ9LVTcy9PK3LJTet5ISYn_s3RFRayaZv&index=4&pp=iAQB
22,4,Equations of line PART 2,https://www.youtube.com/watch?v=404LClEjDco&list=PLZ9LVTcy9PK3LJTet5ISYn_s3RFRayaZv&index=3&pp=iAQB
